Location,Price,Rooms,Bathrooms,Property Type,Size,Furnishing,Store Rooms,Places of Worship,Schools,Hospitals,Malls,Restaurants
KLCC,1250000.0,2,3.0,Serviced Residence,1335.0,Fully Furnished,1,53.0,24.0,20.0,5.0,818.0
KLCC,2400000.0,2,2.0,Serviced Residence,1006.0,Fully Furnished,0,53.0,24.0,20.0,5.0,818.0
KLCC,3600000.0,4,4.0,Serviced Residence,3897.0,Partly Furnished,0,53.0,24.0,20.0,5.0,818.0
KLCC,4280000.0,3,4.0,Serviced Residence,2195.0,Fully Furnished,1,53.0,24.0,20.0,5.0,818.0
KLCC,2300000.0,1,2.0,Serviced Residence,1023.0,Partly Furnished,0,53.0,24.0,20.0,5.0,818.0
KLCC,2700000.0,3,4.0,Serviced Residence,3095.0,Fully Furnished,1,53.0,24.0,20.0,5.0,818.0
KLCC,4098000.0,3,3.0,Serviced Residence,2066.0,Partly Furnished,1,53.0,24.0,20.0,5.0,818.0
KLCC,4000000.0,3,3.0,Condominium,2250.0,Fully Furnished,1,53.0,24.0,20.0,5.0,818.0
KLCC,1698800.0,2,2.0,Serviced Residence,1227.0,Fully Furnished,0,53.0,24.0,20.0,5.0,818.0
KLCC,1500000.0,2,2.0,Serviced Residence,1022.0,Fully Furnished,0,53.0,24.0,20.0,5.0,818.0
KLCC,2300000.0,1,2.0,Serviced Residence,1023.0,Partly Furnished,0,53.0,24.0,20.0,5.0,818.0
KLCC,3000000.0,3,3.0,Serviced Residence,2066.0,Partly Furnished,1,53.0,24.0,20.0,5.0,818.0
KLCC,2030000.0,3,5.0,Condominium,2356.0,Fully Furnished,1,53.0,24.0,20.0,5.0,818.0
KLCC,1799000.0,1,1.0,Serviced Residence,720.0,Fully Furnished,0,53.0,24.0,20.0,5.0,818.0
KLCC,1820000.0,2,2.0,Condominium,1159.0,Fully Furnished,1,53.0,24.0,20.0,5.0,818.0
KLCC,1000000.0,3,3.0,Serviced Residence,1313.0,Partly Furnished,1,53.0,24.0,20.0,5.0,818.0
KLCC,1650000.0,3,5.0,Condominium,1905.0,Fully Furnished,1,53.0,24.0,20.0,5.0,818.0
KLCC,2300000.0,1,1.0,Serviced Residence,1023.0,Partly Furnished,0,53.0,24.0,20.0,5.0,818.0
