Location,Places of Worship,Schools,Hospitals,Malls,Restaurants
KLCC,53.0,24.0,20.0,5.0,813.0
Dutamas,33.0,10.0,6.0,1.0,380.0
Bukit Jalil,19.0,6.0,0.0,0.0,196.0
Sri Petaling,19.0,6.0,0.0,0.0,228.0
Mont Kiara,32.0,16.0,6.0,3.0,439.0
Desa ParkCity,22.0,6.0,4.0,1.0,225.0
Damansara Heights,42.0,25.0,7.0,6.0,703.0
Ampang Hilir,35.0,25.0,18.0,5.0,659.0
Jalan Klang Lama (Old Klang Road),37.0,23.0,1.0,5.0,577.0
Bangsar South,39.0,24.0,1.0,4.0,629.0
KL City,38.0,24.0,1.0,7.0,714.0
Sungai Besi,15.0,4.0,1.0,0.0,221.0
KL Sentral,46.0,24.0,20.0,7.0,974.0
Setapak,47.0,15.0,23.0,2.0,479.0
City Centre,48.0,27.0,19.0,7.0,856.0
Taman Desa,40.0,21.0,2.0,4.0,530.0
Sentul,53.0,17.0,21.0,5.0,769.0
Bangsar,47.0,30.0,3.0,7.0,915.0
Segambut,37.0,7.0,21.0,1.0,414.0
Wangsa Maju,26.0,12.0,9.0,1.0,144.0
Batu Caves,38.0,7.0,5.0,0.0,164.0
Setiawangsa,30.0,17.0,10.0,2.0,255.0
Bukit Bintang,53.0,27.0,19.0,7.0,855.0
Chan Sow Lin,48.0,26.0,3.0,7.0,823.0
Taman Tun Dr Ismail,28.0,13.0,3.0,4.0,390.0
Jalan Kuching,44.0,15.0,21.0,2.0,677.0
KL Eco City,38.0,24.0,1.0,7.0,714.0
Cheras,25.0,10.0,1.0,1.0,142.0
Ampang,55.0,18.0,21.0,5.0,792.0
Kuchai Lama,31.0,21.0,2.0,2.0,443.0
Kepong,26.0,2.0,3.0,0.0,138.0
Bandar Menjalara,21.0,2.0,4.0,1.0,166.0
Seputeh,37.0,25.0,1.0,5.0,705.0
Jalan Ipoh,41.0,13.0,21.0,2.0,517.0
Mid Valley City,36.0,27.0,1.0,7.0,787.0
Brickfields,47.0,23.0,5.0,6.0,949.0
Bukit Tunku (Kenny Hills),37.0,19.0,4.0,4.0,509.5
Desa Pandan,33.0,25.0,13.0,5.0,665.0
Sunway SPK,21.0,5.0,3.0,1.0,186.0
Taman Melawati,24.0,7.0,3.0,1.0,118.0
Sri Hartamas,37.0,17.0,6.0,3.0,484.0
Pantai,32.0,25.0,1.0,3.0,502.0
Puchong,22.0,11.0,2.0,1.0,86.0
OUG,29.0,18.0,1.0,1.0,364.0
Salak Selatan,41.0,17.0,1.0,3.0,492.0
Keramat,52.0,28.0,21.0,5.0,808.0
Federal Hill,46.0,23.0,20.0,8.0,981.0
Titiwangsa,54.0,20.0,21.0,5.0,808.0
Desa Petaling,19.0,5.0,1.0,0.0,264.0
Jalan Sultan Ismail,51.0,28.0,20.0,5.0,814.0
Pandan Indah,39.0,26.0,9.0,5.0,666.0
Bandar Tasik Selatan,17.0,6.0,1.0,0.0,253.0
Country Heights Damansara,22.0,9.0,4.0,1.0,260.0
Jinjang,36.0,4.0,3.0,1.0,199.0
Pandan Jaya,33.0,22.0,1.0,4.0,502.0
Bandar Damai Perdana,37.0,19.0,4.0,4.0,509.5
Damansara,48.0,26.0,6.0,6.0,760.0
Taman Duta,50.0,23.0,21.0,7.0,897.0
Pandan Perdana,27.0,14.0,1.0,1.0,205.0
Sungai Penchala,27.0,21.0,3.0,6.0,484.0
Other,54.0,28.0,19.0,6.0,855.0
Bukit Ledang,51.0,23.0,21.0,7.0,911.0
